ae_laptop_14,f1,_,_,_,_,_,_,_,_
BERT,0.7702,_,_,_,_,_,_,_,_
BERT-DK,0.8331,_,_,_,_,_,_,_,_
BERT_Review,0.8334,_,_,_,_,_,_,_,_
BERT-PT,0.829,_,_,_,_,_,_,_,_
BERT-XD_Review,0.8312,_,_,_,_,_,_,_,_
